year,quarter,region,area,level_of_edu,value,unit,source
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Higher Education - Teacher Education Track,76.29,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,Other Education,95.78,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคกลาง,นอกเขตเทศบาล,No Data,85.82,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Total,65.93,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,No Education,53.35,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Below Primary Education,59.36,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Primary Education,76.94,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Lower Secondary Education,59.01,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Upper Secondary Education - General Track,68.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Upper Secondary Education - Vocational Track,62.48,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Upper Secondary Education - Academic Track,51.14,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Higher Education - Academic Track,86.87,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Higher Education - Vocational Track,80.34,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Higher Education - Teacher Education Track,71.46,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,Other Education,77.49,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,Total,No Data,44.7,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Total,64.74,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,No Education,54.75,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Below Primary Education,56.26,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Primary Education,74.29,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Lower Secondary Education,53.46,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Upper Secondary Education - General Track,63.34,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,60.58,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Upper Secondary Education - Academic Track,34.74,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Higher Education - Academic Track,86.48,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Higher Education - Vocational Track,81.23,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Higher Education - Teacher Education Track,69.96,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคเหนือ,ในเขตเทศบาล,Other Education,73.59,Percentage,National Statistical Office of Thailand
